"","agegroup","popage","propage"
"1",1,89194,0.0645283578526238
"2",2,93830,0.0678823218749209
"3",3,84771,0.0613284909694012
"4",4,78415,0.0567301744625591
"5",5,89671,0.064873448628861
"6",6,106005,0.0766904564675582
"7",7,115994,0.0839171058676284
"8",8,126791,0.091728311551136
"9",9,107176,0.0775376290020944
"10",10,94659,0.0684820708340417
"11",11,79860,0.0577755752417263
"12",12,73347,0.0530636753976321
"13",13,63668,0.0460612988290788
"14",14,55139,0.0398909021193783
"15",15,45918,0.0332198705728724
"16",16,77807,0.0562903103284874
